against
ain
aren
cannot
cant
couldn
couldnt
didn
didnt
doesn
doesnt
don
dont
hadn
hadnt
hardly
hasn
haven
havent
isn
isnt
less
ma
mightn
mightnt
mustn
mustnt
needn
neither
netion
never
no
nobody
none
not
nothing
nowhere
rather
shan
shouldn
shouldnt
wasn
wasnt
weren
werent
without
won
wont
wouldn
wouldnt
yet
